"ID","datetime_UTC","release_datetime_UTC","Healed.Scars","X_UTM","Y_UTM"
17001,"2017-08-02 00:00:20","2017-07-31 17:48:00",FALSE,517582.833050873,8033648.57510688
17001,"2017-08-02 01:00:20","2017-07-31 17:48:00",FALSE,516507.619131279,8030323.04294284
17001,"2017-08-02 02:00:20","2017-07-31 17:48:00",FALSE,511834.832171855,8027070.92686054
17001,"2017-08-02 03:00:20","2017-07-31 17:48:00",FALSE,507817.217419302,8020914.64209939
17001,"2017-08-02 04:00:20","2017-07-31 17:48:00",FALSE,506687.666706218,8016087.46328513
17001,"2017-08-02 05:00:20","2017-07-31 17:48:00",FALSE,510194.288140479,8013067.41958882
17001,"2017-08-02 06:00:20","2017-07-31 17:48:00",FALSE,508614.704630641,8010201.50253513
17001,"2017-08-02 07:00:20","2017-07-31 17:48:00",FALSE,510646.205113126,8011486.21342418
17001,"2017-08-02 08:00:20","2017-07-31 17:48:00",FALSE,516431.856554993,8014084.05611739
17001,"2017-08-02 09:00:20","2017-07-31 17:48:00",FALSE,520608.360513119,8016658.43199985
17001,"2017-08-02 10:00:20","2017-07-31 17:48:00",FALSE,517625.154749802,8020555.01145134
17001,"2017-08-02 11:00:20","2017-07-31 17:48:00",FALSE,512494.535239582,8024506.10465562
17001,"2017-08-02 12:00:20","2017-07-31 17:48:00",FALSE,513564.078449153,8028098.44324056
17001,"2017-08-02 13:00:20","2017-07-31 17:48:00",FALSE,512681.36121607,8025012.45154572
17001,"2017-08-02 14:00:20","2017-07-31 17:48:00",FALSE,513376.822812669,8020565.15776368
17001,"2017-08-02 15:00:20","2017-07-31 17:48:00",FALSE,512992.166961935,8017950.2693541
17001,"2017-08-02 16:00:20","2017-07-31 17:48:00",FALSE,512799.269349557,8016533.68298533
17001,"2017-08-02 17:00:20","2017-07-31 17:48:00",FALSE,511517.922831845,8017044.75959397
17001,"2017-08-02 18:00:20","2017-07-31 17:48:00",FALSE,512364.633615941,8015299.48079725
17001,"2017-08-02 19:00:20","2017-07-31 17:48:00",FALSE,509930.649942914,8011236.39490575
17001,"2017-08-03 00:00:15","2017-07-31 17:48:00",FALSE,514086.191871509,8022432.95983096
17001,"2017-08-03 01:00:15","2017-07-31 17:48:00",FALSE,513468.245883024,8019899.16050077
17001,"2017-08-03 02:00:15","2017-07-31 17:48:00",FALSE,514151.572108915,8017065.55755572
17001,"2017-08-03 03:00:15","2017-07-31 17:48:00",FALSE,516066.724886203,8015135.10795214
17001,"2017-08-03 04:00:15","2017-07-31 17:48:00",FALSE,517984.813538961,8013118.39719156
17001,"2017-08-03 05:00:15","2017-07-31 17:48:00",FALSE,519591.375596927,8012476.54704744
17001,"2017-08-03 06:00:15","2017-07-31 17:48:00",FALSE,520059.354363494,8016556.21982983
17001,"2017-08-03 07:00:15","2017-07-31 17:48:00",FALSE,521922.099623882,8021415.13088398
17001,"2017-08-03 08:00:15","2017-07-31 17:48:00",FALSE,523052.892604704,8027021.90281197
17001,"2017-08-03 09:00:15","2017-07-31 17:48:00",FALSE,524242.368353179,8032503.18133743
17001,"2017-08-03 10:00:15","2017-07-31 17:48:00",FALSE,520248.397872094,8037476.81302902
17001,"2017-08-03 11:00:15","2017-07-31 17:48:00",FALSE,516724.433331082,8035069.16351868
17001,"2017-08-03 12:00:15","2017-07-31 17:48:00",FALSE,514082.29977632,8029379.98361437
17001,"2017-08-03 13:00:15","2017-07-31 17:48:00",FALSE,509786.395769587,8023576.42746448
17001,"2017-08-03 14:00:15","2017-07-31 17:48:00",FALSE,506687.298760345,8017768.09632406
17001,"2017-08-03 15:00:15","2017-07-31 17:48:00",FALSE,507283.815945893,8011983.00001655
17001,"2017-08-03 16:00:15","2017-07-31 17:48:00",FALSE,508025.080032223,8007272.03012382
17001,"2017-08-03 17:00:15","2017-07-31 17:48:00",FALSE,511144.03547058,8006505.66888465
17001,"2017-08-03 18:00:15","2017-07-31 17:48:00",FALSE,512197.043696414,8007067.30088689
17001,"2017-08-03 19:00:15","2017-07-31 17:48:00",FALSE,512766.078095754,8008839.49922617
17001,"2017-08-04 00:19:29","2017-07-31 17:48:00",FALSE,515827.483137738,8018876.16729074
17001,"2017-08-04 01:19:29","2017-07-31 17:48:00",FALSE,512883.269788606,8013618.69325108
17001,"2017-08-04 02:19:29","2017-07-31 17:48:00",FALSE,512683.635694252,8010304.24714973
17001,"2017-08-04 03:19:29","2017-07-31 17:48:00",FALSE,511873.674236887,8011356.2031954
17001,"2017-08-04 04:19:29","2017-07-31 17:48:00",FALSE,512422.817651015,8013443.41330412
17001,"2017-08-04 05:19:29","2017-07-31 17:48:00",FALSE,511695.458081958,8011979.34807552
17001,"2017-08-04 06:19:29","2017-07-31 17:48:00",FALSE,511916.195962135,8013531.04404759
17001,"2017-08-04 07:19:29","2017-07-31 17:48:00",FALSE,512514.651734669,8016693.59001942
17001,"2017-08-04 08:19:29","2017-07-31 17:48:00",FALSE,515343.554217841,8017481.09362736
17001,"2017-08-04 09:19:29","2017-07-31 17:48:00",FALSE,516131.01535666,8017601.79770066
17001,"2017-08-04 10:19:29","2017-07-31 17:48:00",FALSE,514801.286527417,8017133.07009988
17001,"2017-08-04 11:19:29","2017-07-31 17:48:00",FALSE,511982.807923111,8016965.61104762
17001,"2017-08-04 12:19:29","2017-07-31 17:48:00",FALSE,511102.508239863,8015628.40601635
17001,"2017-08-04 13:19:29","2017-07-31 17:48:00",FALSE,507026.040712596,8011438.98047867
17001,"2017-08-04 14:19:29","2017-07-31 17:48:00",FALSE,506093.655184632,8007749.93209232
17001,"2017-08-04 15:19:29","2017-07-31 17:48:00",FALSE,508756.815389317,8005908.28041045
17001,"2017-08-04 16:19:29","2017-07-31 17:48:00",FALSE,511996.833175292,8006743.19119843
17001,"2017-08-04 17:19:29","2017-07-31 17:48:00",FALSE,513506.301846326,8004824.7166249
17001,"2017-08-05 00:00:35","2017-07-31 17:48:00",FALSE,517380.007678361,7993065.47071575
17001,"2017-08-05 01:00:35","2017-07-31 17:48:00",FALSE,520719.374028012,7995116.49238531
17001,"2017-08-05 02:00:35","2017-07-31 17:48:00",FALSE,521583.732588992,7997255.13649206
