"dep_id","metal_band","dep_id_short","lon","lat","datetime_UTC","datetime_release_UTC","deployment_dur_min","mass_gain","rate_mass","dep_lon","dep_lat","distNest","X_UTM","Y_UTM"
"AA35_99699559_20220806",99699559,"ID31_D28",-75.96642,72.85133,"2022-08-06 16:24:00","2022-08-06 11:46:00",861,-78,-0.0905923344947735,-76.0948,72.9425,11.0122701895795,665481.021877361,8090846.4092708
"AA36_99699530_20220803",96699530,"ID01_D30",-76.06006,73.08883,"2022-08-04 08:03:53","2022-08-04 00:21:00",1345,-45,-0.033457249070632,-76.0948,72.9425,16.3679551026574,660226.173344606,8117002.39492789
"AA36_99699556_20220806",99699556,"ID29_D31",-75.86442,73.26821,"2022-08-07 08:45:00","2022-08-07 00:21:00",1118,11,0.00983899821109123,-76.0948,72.9425,37.1067313102915,664842.134844979,8137480.17918398
"AA40_99699523_20220803",99699523,"ID13_D33",-76.28747,73.21155,"2022-08-03 22:54:03","2022-08-03 12:25:00",730,15,0.0205479452054795,-76.0948,72.9425,30.6684966085638,651787.293111627,8130059.12536045
"AA41_99699524_20220803",99699524,"ID14_D34",-74.18618,72.72791,"2022-08-04 01:45:01","2022-08-03 12:42:00",1341,1,0.000745712155108128,-76.0948,72.9425,67.3009307081227,725370.865866658,8082942.19913368
"AA41_99699550_20220806",99699550,"ID25_D36",-75.73622,72.98288,"2022-08-06 20:54:01","2022-08-06 11:22:00",866,-7,-0.00808314087759815,-76.0948,72.9425,12.5662980305954,671743.901278985,8106119.91257419
"AA41_99699677_20230802",99699677,"ID47_D37",-74.68484,73.45757,"2023-08-02 22:48:01","2023-08-02 10:35:00",852,21,0.0246478873239437,-76.0948,72.9425,73.3094314369459,700359.63988909,8162121.48889217
"AA41_99699697_20230803",99699697,"ID52_D38",-75.94298,73.17218,"2023-08-04 12:48:00","2023-08-03 23:43:00",1531,-47,-0.030698889614631,-76.0948,72.9425,26.101502548925,663230.694031803,8126587.41363854
"L24_99699529_20220803",99699529,"ID18_D44",-76.02288,72.90921,"2022-08-04 09:42:01","2022-08-03 23:57:00",653,-23,-0.0352220520673813,-76.0948,72.9425,4.39978968660722,663093.069299523,8097127.85411462
"L24_99699577_20220808",99699577,"ID34_D46",-76.03991,72.95916,"2022-08-09 20:03:03","2022-08-09 00:01:00",1373,-93,-0.0677348871085215,-76.0948,72.9425,2.58549463299864,662075.325877018,8102636.31945546
"L27_99699520_20230801",99699520,"ID10_D47",-75.42715,73.1555,"2023-08-02 05:00:49","2023-08-01 23:42:00",619,48,0.0775444264943457,-76.0948,72.9425,32.2079714877279,680012.018876966,8126212.91653399
"L31_99699679_20230802",99699679,"ID49_D51",-75.73217,73.15226,"2023-08-03 17:15:26","2023-08-02 23:12:00",1401,-22,-0.0157030692362598,-76.0948,72.9425,26.2159146078916,670214.976080327,8124960.14665562
"L39_99699554_20220806",99699554,"ID28_D53",-75.90604,73.06767,"2022-08-07 06:48:10","2022-08-06 23:42:00",766,1,0.00130548302872063,-76.0948,72.9425,15.2656877515239,665411.647381357,8115068.34765892
